
It´a long way to the top (AC/DC)
Walk this way - Erbarme, die Hesse komme (Aerosmith)
Dancing with myself (Billy Idol)
Livin´on a prayer (Bon Jovi)
Raise your Hands (Bon Jovi)
Wanted Dead or alive (Bon Jovi)
I don´t like mondays (Boomtown Rats)
Just like Paradise (Dave Lee Roth)
Pour some sugar on me (Def Leppard)
Money for nothing  (Dire Straits)
Final Countdown (Europe)
Juke Box hero (Foreigner)
Knockin´on heavens door (Guns ´n Roses)
Live and let die (Guns ´n Roses)
Sweet child o´mine (Guns ´n Roses)
Heart an Soul (Huey Lewis)
Lumberjack Blues (Irgendwelche)
Anyway You Want (Journey)
Don´t stop believing (Journey)
We´re the kids in america (Kim Wilde)
Rock´n Roll all night (Kiss)
Everybody´s working for weekend (Loverboy)
Safety Dance (Men without hats)
Sister Christian (short Version) (Night Ranger)
Völlig losgelöst (Peter Schilling)
Every rose had it thorne (Poison)
Purple Rain (Prince)
I want to break free (Queen)
Under Pressure (Queen)
Skandal um Rosie (Spider Murphy)
We´re not gonna take it (Twisted Sister)
Jump + Bandvorstellung + Jump Ende (Van Halen)
Panama (Van Halen)
Here I go again (Whitesnake)
Is this love (Whitesnake)
Still of the night (Whitesnake)
Gimme all your ovin (ZZ Top)

to be continued...
